Identifier,Start Date / Time,End Date / Time,Title,Subtitle,Type,Description,Permalink,Building Name,Room,Location Name,Cost,Tags,Sponsors
142167-21890152,1/22/26 10:00,2/26/26 11:30,Creating Cultures of Belonging in Practice - Staff Class | Winter 2026,Creating Cultures of Belonging in Practice - Staff Class,Workshop / Seminar,"Course Description: Hosted by Michigan Housing’s Community Connections and Engagement Department, this dialogue series is offered to new and seasoned Student Life staff as a professional development opportunity. The series emphasizes reflection, connection, and intentional practice to support a culture of belonging. 

Over 6 weeks, participants are guided from self-awareness to action through three modules:Inclusion on Purpose: Self reflection and inclusive practices skill-buildingStrengthening Communities: Recognizing barriers to access and belongingBelonging in Action: Applying inclusive principles in everyday work
Learning Outcomes: At the conclusion of the series, participants will be able to –Implement inclusive strategies in leadership, supervision, collaboration, and interactions with students and colleagues.Cultivate relationship-building skills that enhance connection and a sense of belonging within the diverse University of Michigan community.Assess policies, practices, and office operations through an inclusive perspective.",https://events.umich.edu/event/142167,,,"Asubuhi Multicultural Lounge - West Quad, room 1031",,Sessions,Sessions @ Michigan
143706-21893696,2/5/26 17:30,4/2/26 19:00,Spiritual Wellness Group,,Workshop / Seminar,"Thursdays | 5:30–7:00 PM | February 5 - April 2 What would it look like to pause—really pause—in the middle of a busy semester?
To gather with others who are curious about meaning, purpose, and what helps us feel grounded and whole?Spiritual Wellness is an 8-week small-group experience for students who want space to reflect, connect, and explore their inner lives—no matter their spiritual, religious, or secular background. If you’ve been longing for deeper wisdom, authentic connection, or a place where your questions are welcome, this space is for you.In a world that often feels rushed, isolating, or divided, this gathering offers something different: a warm, welcoming community where you can slow down, be present, and engage what truly nourishes you. Each week includes guided practices, shared reflection, wisdom traditions, and meaningful conversation—designed to support spiritual wellness, genuine relationships, and a deep sense of belonging.The series is facilitated by Kelsey Lewis, with support from guest facilitators who bring diverse voices and practices. Because trust and community grow over time, participants commit to weekly attendance for all 8 weeks, ending with a closing celebration to honor the journey we’ve shared.$250 stipend for participants who complete the full program
Limited to 12 students to create an intimate, supportive group
",https://events.umich.edu/event/143706,,,The Connector,,Sessions,Sessions @ Michigan
145016-21896495,2/20/26 0:00,2/20/26 23:59,Bike Repair Hours ,,Other,"Does your bike need a tune-up? Need help fixing a flat or getting your gears to shift smoothly? 
Come to the FREE Wolverines on Wheels Bike Repair Hours on Wednesdays from 4-6p and Fridays from 3:30-5p.
Sign up for a 30-minute slot and your bike to the Duderstadt Fabrication Underground (B430-Lower Level) for peer-to-peer bike repair and maintenance. Our volunteers can help you diagnosis bike problems, guide you through repairs, and provide the tools & materials needed to get you back to riding. 
This is NOT a drop-off service: ALL participants are expected to stay and participate in repairs to learn basic bike maintenance with the support of our volunteers. Expect to get your hands dirty and leave feeling more confident in your skills!
Only one bike per participant. You may sign up for multiple slots in a row but please be mindful of sharing the opportunity with other campus riders. Walk-ins are welcome but come secondary to sign-ups. 
If you are interested in becoming a volunteer for our new program, please email wolverinesonwheels-admin@umich.edu
The Duderstadt Fabrication Underground's Bike Repair rack is available for use during all operation hours (M-F 12-6p). WoW Volunteers will only be there at our dedicated support hours with additional materials (tire patches, grease, etc). 
https://calendly.com/wolverinesonwheels-admin-umich/30min ",https://events.umich.edu/event/145016,,,Duderstadt Fabrication Underground,,,Maize Pages Student Organizations
145254-21896935,2/20/26 0:00,2/20/26 23:59,Shapiro Art Supplies Donation Bin,,Other,"We are running our first Donation Drive in support of the Gift of Arts program at Michigan Medicine! Please donate new, nontoxic art supplies from the list below, and spread the word!",https://events.umich.edu/event/145254,,,Shapiro Undergraduate Library Entrance,,,Maize Pages Student Organizations
143443-21893179,2/20/26 0:00,2/20/26 23:59,University of Michigan Women's Ice Hockey @ CCWHA League Tournament,,Other,Leagues,https://events.umich.edu/event/143443,,,Eddie Edgar Ice Arena,,,Maize Pages Student Organizations
145193-21896789,2/20/26 0:00,2/20/26 23:45,Zero Waste Week Challenge,,Recreational / Games,"The UM Zero Waste Club in collaboration with ZeroWaste.Org and the Student Sustainability Coalition is hosting a campus-wide zero waste challenge from Feb 16-20! The challenge is a chance to learn how to live a lifestyle that doesn’t create waste and supports the circular economy (repair, refill, reuse).

The challenge is fun and free and everyone who signs up will be entered into a drawing for prizes from local businesses such as a gift card to The Getup Vintage, a backpack from Bivouac, or a year of free cupcakes from Nothing Bundt Cakes. Sign up as a group with your friends, classmates or colleagues for even more entries! As part of the challenge, you'll get daily emails with tips that will teach you, step-by-step, how to produce less waste. There will also be panel discussions, events, and opportunities to get involved in systemic work to make our campus as zero waste as possible. You can learn more about the challenge at ZeroWaste.org/Umich",https://events.umich.edu/event/145193,,,Various,,,Maize Pages Student Organizations
143522-21893336,2/20/26 6:00,2/20/26 23:59,UCF Tournament ,,Other,UCF tournament 2/20-2/22,https://events.umich.edu/event/143522,,,RWC Park,,,Maize Pages Student Organizations
145100-21896668,2/20/26 7:00,2/20/26 8:00,Clinical Faculty Dialogues,,Workshop / Seminar,"A new Faculty Senate initiative—the Clinical Faculty / Faculty Senate Dialogues—will
 help the Faculty Senate better understand the concerns, issues, and 
perspectives of Clinical Faculty. In 2023, the Faculty Senate expanded 
to include all faculty with at least a 50% appointment as a clinical 
professor (assistant, associate, and full). So that the Faculty Senate 
can better connect with its new clinical members, this new initiative 
will feature a number of listening sessions.
Do you have something you’d like to discuss with Faculty 
Governance? Do you want to learn more about what Faculty Governance is 
and does? Then please join us for coffee, bagels, and conversation!  
These events are hosted by SACUA Chair Derek Peterson, SACUA Vice Chair and Clinical Assistant Professor Soumya Rangarajan, and the Faculty Senate Office.",https://events.umich.edu/event/145100,,,"University Hospital South, Room F4367",,Sessions,Sessions @ Michigan
143388-21893000,2/20/26 8:00,2/20/26 16:00,CAS Exhibit. Making Armenian Americans - Project Save Photograph Archive/Archive Alive Project,"10th Floor Gallery, Weiser Hall from February 2 to April 30, 2026",Exhibition,"Making Armenian Americans  
Curators: Michael Pifer (U-M| MES) and Kathryn Babayan (U-M|History)
Project Save Photograph Archive/Archive Alive Project

Making Armenian Americans invites viewers into a moment of possibility in the early 20th century, when Armenians fleeing violence at the end of the Ottoman Empire came to reinvent themselves in the promise of America. Drawn from the archives of Project Save, these photographs capture different valences of American life, as experienced, performed, and imagined by Armenian immigrants. From naturalization classes to festivals of nations, from breaking new ground for churches to mundane tableaus of Thanksgiving and Christmas, this range of photographs offers a glimpse of a community in the making, one that sought to preserve a memory of its Ottoman past even while anticipating an American future.",https://events.umich.edu/event/143388,,,,,"Area Studies
Armenian Studies
Exhibition
history","Center for Armenian Studies
International Institute"
143613-21893514,2/20/26 8:30,2/20/26 17:00,LACS Exhibition. Back in Bahia: The Repatriation Journey of Afro-Brazilian Art from Detroit to Salvador,"February 2-26, 2026 | International Institute Gallery, 547 Weiser Hall",Exhibition,"*Back in Bahia: The Repatriation Journey of Afro-Brazilian Art from Detroit to Salvador*
Curator: Ryan B. Morrison | Curatorial Assistant: Isabella H. de Lemos

February 2-26, 2026, International Institute Gallery, 547 Weiser Hall

*Back in Bahia: The Repatriation Journey of Afro-Brazilian Art from Detroit to Salvador* traces one of the largest repatriation efforts of Afro-Brazilian art to date. Led by the Detroit-based nonprofit Con/Vida: Popular Arts of the Americas, the initiative is returning more than 750 works of Afro-Brazilian popular art to Salvador, Bahia, where they will enter the collection of the National Museum of Afro-Brazilian Culture (MUNCAB). Built over three decades through sustained relationships with artists, families, and workshops across Northeastern Brazil, the collection reflects the creative ingenuity, community memory, and diasporic traditions that define Afro-Brazilian popular art.

This exhibition highlights selected works from the broader repatriation effort, recognizing the artists and cultural stewards in Brazil and Michigan who made this historic return possible. Featured are woodcut prints by João Francisco Borges, Nilo dos Santos, Givanildo Francisco da Silva, and José Miguel da Silva, alongside examples of *literatura de cordel*—popular printed booklets that combine social commentary, folklore, poetry, and song.

Further reading and details are available in Portuguese and English at https://myumi.ch/61G23.

Presented by the Center for Latin American and Caribbean Studies and the Institute for the Humanities",https://events.umich.edu/event/143613,Weiser Hall,"International Institute Gallery, Room 547",Weiser Hall,,"Afro-brazilian Studies
Area Studies
Art
brazil
Center For Latin American And Caribbean Studies
Exhibition
Visual Arts","Center for Latin American and Caribbean Studies
International Institute"
