,key,prefix,number,suffix,title,description,minimum credits,maximum credits,other
2,ACCTG 199,ACCTG,199,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
5,ACCTG 296,ACCTG,296,,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,
8,ACCTG 310,ACCTG,310,,Federal Taxation I,"Study of income determination concepts for individuals and corporations, impact of taxation on decisions, elementary research techniques, and ethical standards. ACCTG 310 Principles of Taxation (3) This course is directed to the study of concepts relative to: (a) the determination of taxable income and tax liability, (b) the influence of tax considerations on the decisions of taxpayers, and (c) elementary tax research techniques. Primary emphasis is given to concepts that are fundamental to the federal taxation of income with respect to business entities. Also, basic aspects of the taxation of individuals are introduced.The objectives of this course are to enable students to do the following: 1) apply basic tax rules and regulations to compute the taxable income and federal income tax liability for corporate and individual taxpayers, 2) incorporate tax costs and tax benefits into calculations of the net present value of cash inflows and outflows from taxable activities, 3) recognize tax planning opportunities or problems inherent in common transactions, and 4) appreciate the impact of the basis of accounting on both tax and financial reporting.Typical topics include sources of authority, structure of an income tax, property transactions, choice of entity, distribution of income, selection of jurisdiction, means of financing, and taxation of individuals. Students should be familiar with basic accounting concepts, should understand the nature of financial instruments, and should be able to apply the concept of present value and future value in estimating cash inflows and outflows.This is a required course for accounting majors and, for many of them, the only tax course that they take. Other students who meet the prerequisite requirements may take this course as an elective. Also, this principles course in taxation is a prerequisite requirement for an advanced course in taxation.Evaluation is based primarily on periodic examinations. No special facilities are required. However, students have on-line access to tax laws and regulations, tax cases, and administrative guidance. This course is generally offered every semester with enrollments of twenty to thirty students per section.",3,3,Enforced Prerequisite at Enrollment: ACCTG 211 or FIN  301
11,ACCTG 340,ACCTG,340,,Cost Accounting,"Accounting for manufacturing concerns; actual and standard cost systems, and managerial uses of cost data.",3,3,Enforced Prerequisite at Enrollment: ACCTG 211 or ACCTG 311
14,ACCTG 403,ACCTG,403,,Auditing,"Financial compliance, internal, and operational audits; standards and procedures; sampling; EDP auditing; professional issues; application of concepts through written responses.  ACCTG 403 Auditing (3)Financial statement, regulatory and contract compliance, internal and operational audits, professional standards and ethical conduct; statistical and judgmental sampling; the audit-impact of information technology; audit risk and internal control structure evaluation; application of procedures in transaction cycles; audit reporting; professional issues.",3,3,Enforced Prerequisite at Enrollment: ACCTG 371 or ACCTG 471
17,ACCTG 405,ACCTG,405,,Principles of Taxation I,"Elements of tax policy and tax-planning concepts for personal and business decision making; with emphasis on taxation of individuals.  ACCTG 405 Principles of Taxation (3) Introduction to Taxation, is the first course that undergraduate accounting majors take that is devoted entirely to taxation. Although the course is intended for accounting majors, the content is relevant to finance majors seeking elective courses. The objective of the course is to provide students with a basic understanding of the concepts, terminology, and decision-making skills specific to the discipline of taxation that are germane to the professional development of those preparing for a career in accounting. Although the course surveys the many forms of taxation that are found in industrialized societies, and the comparisons thereof, the main focus is on the federal income taxation of individuals. However, coverage is provided regarding the manner in which the taxation of individuals relates to corporate and partnership entities. ACCTG 405 is related to other accounting courses through its coverage of income concepts, and micro-economic principles. The former compares differences in the measurement of financial accounting income with the manner in which income is determined according to the tax laws. The latter emphasizes business decision-making principles that are important in the managerial portion of the accounting program. The course covers topics that illustrate fundamental tax strategies and how such enable taxpayers to achieve business and personal economic objectives. The assessment process in ACCTG 405 incorporates examinations, homework assignments, and individual and group projects. The exams are combinations of objective questions and open-ended problems. Exams are often given in the evening. Course learning aids include a text book, on-line tax research services, spreadsheet software, and a packet of handouts prepared by instructors to keep the classes updated on the many changes in the tax laws that occur each year.",3,3,Enforced Prerequisite at Enrollment: ACCTG 211 and (BA 301 or FIN 301)
20,ACCTG 411,ACCTG,411,,Accounting Practicum:  VITA,Introduces students to practical aspects of tax preparation through the IRS' VITA program and completion of a tax research project.,3,3,Enforced Prerequisite at Enrollment: ACCTG 310
23,ACCTG 426,ACCTG,426,,Financial Statement Analysis,"The exploration of conventional and advanced methods of analyzing financial statements, including the assessment of earnings quality. ACCTG 426 Financial Statement Analysis (3) The objective of this course is to explore conventional and advanced analytical methods of analyzing financial statements. Expanding on the material covered in the principles of accounting and principles of finance courses and using actual financial statements, students: review and apply the traditional methods for analyzing financial statements, such as ratio analysis, trend analysis, and common-size analysis, apply advanced tools for analyzing financial statements, such as financial distress prediction models and earning manipulation prediction models, and evaluate accounting policies and disclosures and their impact on the financial statements through the assessment of earnings quality.",3,3,Enforced Prerequisite at Enrollment: FIN 301
26,ACCTG 440,ACCTG,440,,Advanced Management Accounting,"Management accounting topics such as decision models, quantitative techniques, variance analysis, and their use in accounting.  ACCTG 440 Advanced Management Accounting (3) An in-depth examination of accounting techniques used within modern organizations. The course is designed for students interested in pursuing careers in corporate accounting or financial management. The portfolio of managerial accounting procedures, including cost measurement and allocation, budgeting practices, transfer pricing, and variance analyses appropriate to an organization's unique circumstances are derived. The student will learn to apply psychological and sociological theories of behavior to practical problems of control and to apply quantitative methods and models to managerial decision-making. Other topics covered by the course may include, financial management of working capital, long-term assets and liabilities; techniques for managing inventory; and strategic cost management including inter-organizational cost management.",3,3,Enforced Prerequisite at Enrollment: ACCTG 340 or ACCTG 404
29,ACCTG 462,ACCTG,462,,Governmental and Not-for-Profit Accounting,"Provides an understanding of governmental and not-for-profit accounting theory, procedures, and financial statements.",3,3,Enforced Prerequisite at Enrollment: ACCTG 311 or ACCTG 471
32,ACCTG 473,ACCTG,473,,Advanced Financial Accounting,"Reporting for multi-corporate enterprises, business combinations, quasi- reorganizations, and selected contemporary reporting problems. ACCTG 473 Advanced Financial Accounting (3) This course explores four major topics: accounting for business combinations, introduction to derivatives and special purpose entities, accounting for foreign currency transactions and consolidating foreign subsidiaries, and ethics and policy issues for the profession.",3,3,Enforced Prerequisite at Enrollment: ACCTG 472
35,ACCTG 494,ACCTG,494,,Research Project,Supervised student activities on research projects identified on an individual or small-group basis.,1,12,
38,ACCTG 496,ACCTG,496,,Independent Studies,"Creative projects, including research and design, which are supervised on an individual basis and which fall outside the scope of formal courses.",1,18,
41,ACCTG 499,ACCTG,499,,Foreign Studies,Courses offered in foreign countries by individual or group instruction.,1,12,International Cultures (IL)
44,AERSP 97,AERSP,97,,Special Topics,"Formal courses given infrequently to explore, in depth, a comparatively narrow subject which may be topical or of special interest.",1,9,
