SUBJECT,CATALOG NBR,CLASS SECTION,ENROLL CAP FOR BIDDING,MEETING TIMES,INSTRUCTOR,COURSE TITLE,COURSE PREREQUISITES,CLASS NBR,CRSE ID,CREDITS,START DT,END DT,SESSION DESC,MARKETPOINTS,CANCELLED
ACC,564,001,72,TTh 10:20am-12:40pm 1/12-2/23 ,Lindsey Gallo,Corporate Financial Reporting,GMBA or FTMBA or MAcc or MSCM,16487,003674,2.25,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
ACC,564,002,72,TTh 2:10pm-4:30pm 1/12-2/23 ,Lindsey Gallo,Corporate Financial Reporting,GMBA or FTMBA or MAcc or MSCM,17700,003674,2.25,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
ACC,620,001,72,MW 2:10pm-4:30pm 3/10-4/20 ,Jim Desimpelare,Federal Taxation II,Graduate Standing,10366,003675,2.25,3/10/2026 12:00:00 AM,4/20/2026 12:00:00 AM,Second 7 weeks,,N
ACC,650,001,72,MW 2:10pm-4:30pm 3/10-4/20 ,Venky Nagar,P&L Leadership via Cost Management,Graduate Standing,16490,017503,2.25,3/10/2026 12:00:00 AM,4/20/26 0:00,Second 7 weeks,,N
ACC,651,001,72,Th 6:00pm-8:00pm 1/15-1/15 Th 6:00pm-8:00pm 1/22-1/22 Th 6:00pm-8:00pm 1/29-1/29 ,Venky Nagar,"A Brief Introduction to Computing Technologies: Crypto, Al, Quantum",Ross Graduate Student,28191,049027,0.5,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
ACC,711,001,62,MW 8:00am-10:20am 1/12-2/23 ,Gwen Yu,Financial Statement Analysis I,(Ross Graduate Standing) and (No credit in ACC 712),27143,042947,2.25,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
ACC,711,002,62,MW 10:20am-12:40pm 1/12-2/23 ,Gwen Yu,Financial Statement Analysis I,(Ross Graduate Standing) and (No credit in ACC 712),27144,042947,2.25,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
ACC,713,001,72,MW 10:20am-12:40pm 3/10-4/20 ,Reuven Lehavy,Financial Statement Analysis II,Graduate Standing and (No credit in ACC 712),17701,042948,2.25,3/10/2026 12:00:00 AM,4/20/26 0:00,Second 7 weeks,,N
BA,523,001,72,TTh 2:10pm-4:30pm 1/12-2/23 ,David Butz,Comprehensive Health Care Strategies,Graduate Standing,16040,041070,2.25,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
BCOM,522,001,30,MW 12:40pm-2:10pm 1/12-2/23 ,Sophia Galifianakis,Managerial Writing,(GMBA or FTMBA or MAcc or MSCM or MM or MBAN) and (no credit in BCOM 594),15598,017009,1.5,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
BCOM,524,001,30,W 6:30pm-9:30pm 1/12-2/23 ,Sophia Galifianakis,Persuasive Management Communication,GMBA or FTMBA or MAcc or MSCM or MBAN or MM,23265,020996,1.5,1/12/2026 12:00:00 AM,2/23/2026 12:00:00 AM,First 7 weeks,,N
BCOM,561,001,30,M 6:30pm-9:30pm 3/10-4/20 ,Nancy Kotzian,Management Presentations,"Graduate Standing, excluding OMBA",15609,020997,1.5,3/10/2026 12:00:00 AM,4/20/26 0:00,Second 7 weeks,,N
