name,titles,bio,profile_url
Allan Afuah,Professor of Strategy,"Biography Prof. (Dr.) Allan Afuah received his PhD from MIT. Dr. Afuah won the 2022 Academy of Management Review (AMR) Decade Award for the paper, “Crowdsourcing as a solution to distant search.” Considered the journal’s highest recognition, the AMR Decade Award honors the paper with the greatest impact on research in the last 10 years as reflected in metrics such as citations rates. He was also the winner of the 2019 AMR Managerial Practice Award. Before that, Professor Afuah won the 2012 Academy of Management Review (AMR) Best Paper Award when the journal was the world’s #1 business and #1 management/business journal. The courses Professor Afuah teaches take the point of view of a manager with overarching responsibility for the performance of his or her organization. His courses focus on how technological innovation concepts and phenomena can be used to explain and make predictions about how the world’s most valuable firms (e.g., Apple, Amazon, Alibaba, Facebook, Google, etc.) and former unicorns (e.g., Uber, Airbnb, etc.) create and capture value in an increasingly digital and uncertain world. Professor Afuah won the MBA teacher of the year award at Ross when there was only one MBA teaching award.",https://michiganross.umich.edu/faculty-research/faculty/allan-afuah
Hyun-Soo Ahn,Professor of Technology and Operations | Robert P. Thome Professor of Business Administration,"Biography Hyun-soo Ahn is a professor of Technology and Operations and Ford Motor Co. Director of Tauber Institute for Global Operations at the University of Michigan. He is an active researcher in supply chain management, service operations, revenue and pricing management, purchasing, and value chain innovations. His research has been funded by multiple government and private agencies, including the National Science Foundation and the Department of Energy. He received multiple research awards at Ross, including the 2019 Ross Researcher of the Year award. At Ross, he teaches classes in business analytics, machine learning, statistics, and consulting methodology in the EMBA, MBA, MSCM, and BBA programs. He also teaches executive classes on business analytic and digital transformation for several companies, including ICBC and Bank of America. He has received six teaching excellence awards (voted by the graduating class). He has worked with and supervised more than 70 projects with companies and non-profit organizations. The companies include Amazon, Google, Microsoft, Cisco, FCA, Boeing, Radial, Johnson  & Johnson, 3M, Safeway, General Electric, General Motors, Medtronic, Ametek, and Intel. He is the founder of Supply Chain Consulting Studio, a capstone program for the Master of Supply Chain Management students.",https://michiganross.umich.edu/faculty-research/faculty/hyun-soo-ahn
Cheri Alexander,Lecturer of Management and Organizations,"Biography Cheri Alexander is a Faculty Member, Management and Organizations, University of Michigan Ross School of Business.. She teaches Leadership, Global Competency, and Human Capital in the Bachelors, Masters of Business Administration and Masters of Management Programs. In addition, she teaches assorted leadership and HR topics for Executive Education. She, with peers at Ross, teaches online in 4 programs and 5 additional,  individually. These appear on the Coursera Platform for the Center for Academic Innovation/Michigan Online. She also supports programs at Michigan's Engineering School Prior to retiring from General Motors, she was President of the General Motors University and Executive Director Global HR. In that position, she was the Chief Learning Officer overseeing Global Learning & Performance. Cheri was part of the company's Global Integration Team that oversaw Global HR Implementation, focusing on emerging markets. At GM, Ms. Alexander had thirty-three years of successful International HR Management and Labor Relations experience. She has HR expertise in Mergers and Acquisitions, JV formation and execution, talent management, succession planning, leadership development, corporate universities, security, crisis management, safety, industrial health engineering, and business process outsourcing. She was nominated several times and received the Chairman's Award for work in positive downsizing. In addition to the multiple areas inside HR in which she has worked, Alexander had assignments in Plant Management, Quality, and Engineering. She lived and worked in 5 countries on 3 continents and was responsible for all HR outside of North America, as the Vice President of HR for International Operations, overseeing and visiting operations in 52 countries. A native of Detroit, Cheri received her Bachelor's Degree from the University of Michigan, as well as her first Masters in Industrial Health Engineering. She was selected as an Alfred P. Sloan Fellow and completed her second Masters, a Masters of Science in Management at the Massachusetts Institute of Technology (MIT). She is a Certified Executive Leadership Coach. Cheri has published work on Noise Induced Hearing Loss and completed her thesis on the Relocation of Dislocated Automobile Workers. Her work is cited in three books, United We Stand, by Wilbur and Weakley, Successful Mergers, Acquisitions, and Strategic Alliances by Gancel, Rodgers, and Raynaud and Road to Power by Colby. In addition to her work, Cheri is on the Board of the Inforum Center for Leadership. Cheri is dedicated to global education and often speaks on her favorite topics, ""Being International"" and ""Global Superficial Homogenization – What it Means to be Global.""",https://michiganross.umich.edu/faculty-research/faculty/cheri-alexander
Samuel Anderson,Assistant Professor of Accounting,,https://michiganross.umich.edu/faculty-research/faculty/samuel-anderson
Amy Angell,Lecturer of Marketing,"Biography As a marketing lecturer, consultant, and small business coach, I am a firm believer in investing time in relationships. Through my work, I have had the opportunity to mentor peers, work with students on action-learning projects, and positively impact small businesses. But it took nearly 20 years to get here! ​ It was after many years of a successful sales career where I brought many new products to market and won several awards in market share growth, that I discovered two new loves- teaching and working with small businesses. Since 2007, I have enjoyed teaching many marketing courses, but the ones I love the most are consumer behavior and advertising.  As a result of these experiences, I developed a passion for hands-on learning and am known for pairing small business clients with student teams in order to create, develop, and implement problem-solving marketing strategies. In fact, the value received from clients prompted me to start my own consulting firm where I continue partnering with well-rounded college graduates, who I have personally mentored and who possess the skill sets to help brands grow. Our team includes content writers, graphic designers, researchers, media planners, and brand strategists. It’s a win-win: job opportunities for recent grads and customized and creative marketing solutions for small businesses. On a personal note, I've been married for 27 years and have four kids. I love to read, cook, and hang with family and friends. Many of my values come from my Catholic faith and my Kentucky roots, and some of my all-time faves include listening to country music, trips to Georgian Bay, and shoes! Check out my website if you're interested in learning more!",https://michiganross.umich.edu/faculty-research/faculty/amy-angell
Ravi Anupindi,Colonel William G. and Ann C. Svetlich Professor of Operations Research and Management | Professor of Technology & Operations,"Biography Ravi Anupindi is Colonel William G. and Ann C. Svetlich Professor of Operations Research and Management at the Stephen M. Ross School of Business; and Chair of (UM) President’s Advisory Committee on Labor Standards and Human Rights (2013-). Previously he was founding Faculty Director of the Center for Value Chain Innovation (2017-2020); co-Director of the Technology and Business Innovation Forum (2015-18) at Ross. He is a Research Fellow at the William Davidson Institute and faculty associate with the Institute of Health Policy and Innovation , Michigan GlobalREACH , Erb Institute , Donia Center for Human Rights , Sustainable Food Systems Initiative and the Center for South Asian Studies . He was the (founding) Faculty Director for the Master of Supply Chain Management Program (2008-2015). Previously he taught at the Stern School of Business, New York University (2000-2002) and the Kellogg Graduate School of Management, Northwestern University (1993-2000). His main research areas include technology and business innovation, global supply chain management, health care delivery in low and middle-income countries, economic development, and environmental & social sustainability. He serves as a faculty expert on a Global Supply Chain Task Force to look into supply chains and national security issues. He was Co-chair of National Academies consensus study on “ Addressing Issues of Vaccine Distribution and Supply Chains to Advance Pandemic and Seasonal Influenza Preparedness and Response ” and Vice-Chair of  National Academies consensus study on Challenges in Supply, Market Competition, and Regulation of Infant Formula in the United States "". His work has appeared in several leading academic journals. At the Ross school his teaching includes Operations Management (core) and an elective classes in Strategic Sourcing, Global Supply Chain Management; Innovations in Global Healthcare Delivery ; and Sustainable Operations and Supply Chain Management . He has authored several case studies & reports (a brief summary available here ). He is co-author of Managing Business Process Flows (3rd Edition) , Pearson/Prentice Hall, 2011. Dr. Anupindi was recognized as P&Q's Favorite MBA Professors from the Class of 2020 and is recipient the Ross School of Business Neary Teaching Excellence Award (2019, 2024), Victor L. Bernard Teaching Leadership Award (2019), and the CORE (Contribution to Research Environment) Award (2015). He is member of the Governing Council of the Supply Chain Risk Leadership Council (SCRLC); serves on the Board of Global Health of the NASEM; is a member of the boards of the William Davidson Institute , the Fair Labor Association , and Every Infant Matters Partners ; a founding board member of the People that Deliver Initiative .",https://michiganross.umich.edu/faculty-research/faculty/ravi-anupindi
Anocha Aribarg,Professor of Marketing | Area Chair of Marketing,"Biography Prof. Aribarg’s research interests involve fusing psychology and consumer behavior theories with Bayesian statistical and econometric modeling to draw unique insights about consumer behavior that help solve current marketing problems. In her research, she attempts to understand the processes underlying how consumers make both individual and joint choice decisions, search for products, and respond to firms' product offerings and advertising. To understand such processes, which include attention, belief updating and preference formation, she employs multi-method approaches involving conjoint choice experiments, surveys, eye tracking measurement, field experiments and observational data. She has published in premier journals such as Marketing Science, Journal of Marketing Research and Psychological Science . She is currently an associate editor at Marketing Science, Journal of Marketing and Journal of Marketing Research and serves on the editorial boards of the Journal of Retailing . Prof. Aribarg teaches Marketing Research and Analytics and Predictive Analytics at the graduate level. She obtained a BS in Statistics from Chulalongkorn University in Thailand and a PhD in Marketing from University of Wisconsin.",https://michiganross.umich.edu/faculty-research/faculty/anocha-aribarg
Daphne Armstrong,Assistant Professor,,https://michiganross.umich.edu/faculty-research/faculty/daphne-armstrong
Sue Ashford,Michael & Susan Jandernoa Professor of Management and Organizations,"Biography Susan (Sue) Ashford holds the Michael and Susan Jandernoa Professorship in Management and Organization at the Ross School of Business, University of Michigan. She was previously on the faculty of the Tuck School of Business at Dartmouth College and received her MS and Ph.D. degrees from Northwestern University. She served as the Ross school’s Senior Associate Dean from 1998 – 2002, the Associate Dean for Leadership Development Programming from 2007 – 2010, the faculty director of the Executive MBA program from 2002 - 2012,  and the Area Chair for the Management and Organizations group from 2014 - 2021. Sue has made research contributions in the areas of leadership development and leader effectiveness, middle management voice and issue selling, job insecurity, and individual proactivity (e.g., self-management and feedback seeking). She is currently researching how to thrive in the gig economy. Her research has been published in a variety of outlets, including the: Academy of Management Review, Academy of Management Journal, Administrative Science Quarterly, Strategic Management Journal, and the Journal of Applied Psychology. Her research has been summarized as advice for managers in the Harvard Business Review, the Harvard Business Review blog, the Washington Post, and New York Magazine. Sue has served as an Associate Editor for the Academy of Management Journal and currently serves on its editorial board. In 2002, Sue was named a Fellow of the Academy of Management, recognizing the top 1% of scholars in a world-wide professional association of nearly 20,000 professors and practitioners interested in improving management scholarship, education, and practice. The Academy of Management also awarded her the prestigious Career Achievement Award for Distinguished Scholarly Contributions to Management in 2017. In 2020, Sue won the Lifetime Achievement award offered by the Organizational Behavior division of the Academy of Management and was also named the Ross school's researcher of the year. Sue and her team won the inaugural visionary circle research grant offered by the Society of Industrial and Organizational Psychology. Sue’s passion is using her teaching and research work to help people to be maximally effective in their work settings, with an emphasis on self-leadership, proactivity, change from below, and leadership and its development. She teaches at the Ross School, focusing on negotiation skills in the Executive  and online MBA programs, and Is the faculty director for the Emerging Leaders Program in Ross’ Executive Education portfolio. She also teaches in Two programs aimed at accelerating careers for women: Ascending to the C-suite program for Inforum, a professional organization committed to Women's careers in Michigan and the Leading Women Executives program in Chicago.",https://michiganross.umich.edu/faculty-research/faculty/sue-ashford
Kate Astashkina,Assistant Professor of Technology and Operations,,https://michiganross.umich.edu/faculty-research/faculty/kate-astashkina
