course_number,title,term,credit_hours,instructor,description
EAS 409.001,Ecol of Fishes,Fall 2025,4,,"Covers physiological, behavioral, and numerical responses of fishes to biotic and abiotic factors; the relationship between fish and the physical, chemical, and biological parameters of major habitat types; adaptations of fish for survival under different constraints."
EAS 409.002,Ecol of Fishes,Fall 2025,4,,
EAS 409.003,Ecol of Fishes,Fall 2025,3,,
EAS 422.001,Biol of Fishes,Fall 2024,3,,"Lectures cover many aspects of the biology of lower vertebrates known as fishes, including evolution, physiology, functional morphology, phylogeny, biogeography, ecology, and reproduction. The systematic position of fish among vertebrates is discussed and exemplary assemblages exam."
EAS 423.001,Bio Fish Lab,Fall 2024,1,,"The Biology of Fishes lab complements the Lecture section of Biology of Fishes, but can be taken as an independent course. The lab introduces fish biology emphasizing anatomy, functional ecology, evolutionary biology and the diversity of major groups of world and Michigan fishes in an explicit phylogenetic context. The lab links basic morphology to function and how it relates to fish ecology and evolution. It will also introduce basic methods in fish biology and illustrate some modern methods to discover and study fish diversity in ecology and evolution, and to monitor fisheries sustainability."
EAS 430.001,Soil Ecology,Fall 2025,3,Brendan O'Neill,"Soils as central components of terrestrial ecosystems. Major emphasis is placed on physical, chemical, and biological properties and their relationships to plant growth and ecosystem processes. Understanding is developed using a combination of lectures, field- and lab-based exercises, and individual research."
EAS 430.002,Soil Ecology,Fall 2025,3,"Brendan O'Neill Gunther, Ana",
EAS 430.003,Soil Ecology,Fall 2025,3,"Brendan O'Neill Gunther, Ana",
EAS 433.001,Ornithology,Fall 2023,4,,"During the lecture, students have the opportunity to learn about many unique features of birds.  In the mandatory lab, students have the opportunity to learn about birds by using museum specimens, and by observing birds on field trips."
EAS 433.002,Ornithology,Fall 2023,4,,
EAS 436.001,Woody Plants,Fall 2025,4,,"In this course, species identification is the starting point for understanding the biology of woody plant species and ecological communities. The identification portion is taught in the field and with specimens in the lab. We’ll visit beech-sugar maple forests, oak-hickory forests, river floodplain forests, a second-growth forest on an old lake plain, swamps and bogs, roadsides, and highly disturbed sites. You’ll become familiar with several forest types and natural communities in SE Michigan. The lectures start with the nuts and bolts of identification and transition to broader topics related to our species, including pollination and dispersal, community and ecosystem ecology, evolution, ethnobotany and climate change. We'll end the semester with student presentations."
EAS 436.002,Woody Plants,Fall 2025,4,,
EAS 436.003,Woody Plants,Fall 2025,4,,
EAS 436.004,Woody Plants,Fall 2025,4,,
EAS 436.005,Woody Plants,Fall 2024,4,,
EAS 444.001,FoodLiteracy for All,Winter 2026,2,,"The Food Literacy for All course offers a unique opportunity for students to gain an interdisciplinary overview of crises and opportunities in today’s food system through a weekly lecture series featuring high-profile speakers from diverse sectors: academia, grassroots movements, public health, farming, and more. Designed as an academic-community partnership, the course is co-led by a UM Program in the Environment faculty member, a Community Co-Instructor who is a local food systems leader, and the Food Literacy for All Coordinator, with support from a GSI, and a number of others. The course is unique in this model of instruction and is open to anyone in the community, near or far, due to its remote nature, allowing them to attend the weekly webinars for free."
